"Sandy clay loam"||"107575747"|"109429516"
"Clay loam"||"107575748"|"109429654"
"Loam"||"107575749"|"109429655"
"Fine sandy loam"||"107575750"|"109429216"
"Very fine sandy loam"||"107575751"|"109429650"
"Loam"||"107575752"|"109429511"
"Loamy fine sand"||"107575753"|"109429651"
"Fine sandy loam"||"107575754"|"109429652"
"Loam"||"107575755"|"109429653"
"Very fine sandy loam"||"107575756"|"109429217"
"Loam"||"107575757"|"109429512"
"Fine sandy loam"||"107575758"|"109429218"
"Very fine sandy loam"||"107575759"|"109429513"
"Loam"||"107575760"|"109431058"
"Loam"||"107575761"|"109430550"
"Clay loam"||"107575762"|"109430551"
"Sandy clay loam"||"107575763"|"109430857"
"Clay loam"||"107575764"|"109430858"
"Loam"||"107575765"|"109431059"
"Sandy clay loam"||"107575766"|"109430819"
"Clay loam"||"107575767"|"109431060"
"Loam"||"107575768"|"109430820"
"Sandy clay loam"||"107575769"|"109430736"
"Loam"||"107575770"|"109430784"
|"Material"|"107575771"|"109430698"
"Sandy clay loam"||"107575772"|"109430695"
"Clay loam"||"107575773"|"109430696"
"Loam"||"107575774"|"109430697"
"Sandy clay loam"||"107575775"|"109430785"
"Sandy clay loam"||"107575776"|"109431024"
"Clay loam"||"107575777"|"109430786"
"Clay loam"||"107575778"|"109431025"
"Clay loam"||"107575779"|"109430643"
"Sandy clay loam"||"107575780"|"109430095"
"Clay loam"||"107575781"|"109430644"
"Sandy clay loam"||"107575782"|"109430096"
"Loam"||"107575783"|"109429800"
"Clay loam"||"107575784"|"109429927"
"Sandy clay loam"||"107575785"|"109429928"
"Loam"||"107575786"|"109430521"
"Loam"||"107575787"|"109430524"
"Clay loam"||"107575788"|"109430522"
"Sandy clay loam"||"107575789"|"109430523"
"Clay loam"||"107575790"|"109430788"
"Sandy clay loam"||"107575791"|"109430699"
"Clay loam"||"107575792"|"109431026"
"Sandy clay loam"||"107575793"|"109430787"
"Loam"||"107575794"|"109431027"
"Clay loam"||"107575795"|"109429809"
"Sandy clay loam"||"107575796"|"109429810"
"Clay loam"||"107575797"|"109429811"
"Sandy clay loam"||"107575798"|"109430097"
"Loam"||"107575799"|"109430079"
"Clay loam"||"107575800"|"109430645"
"Sandy clay loam"||"107575801"|"109430098"
"Loam"||"107575802"|"109430815"
"Clay loam"||"107575803"|"109430816"
"Sandy clay loam"||"107575804"|"109430732"
"Loam"||"107575805"|"109431056"
"Clay loam"||"107575806"|"109430733"
"Loam"||"107575807"|"109430734"
"Sandy clay loam"||"107575808"|"109430735"
"Clay loam"||"107575809"|"109430817"
"Loam"||"107575810"|"109431057"
"Sandy clay loam"||"107575811"|"109430818"
"Very fine sandy loam"||"107575812"|"109431073"
|"Material"|"107575813"|"109430750"
"Sandy clay loam"||"107575814"|"109430834"
"Clay loam"||"107575815"|"109431072"
"Loam"||"107575816"|"109430835"
"Sandy clay loam"||"107575817"|"109430751"
"Sandy clay loam"||"107575818"|"109430752"
"Clay loam"||"107575819"|"109430753"
"Clay loam"||"107575820"|"109430754"
"Loam"||"107575821"|"109430813"
"Clay loam"||"107575822"|"109431053"
"Sandy clay loam"||"107575823"|"109430814"
"Loam"||"107575824"|"109431054"
"Sandy clay loam"||"107575825"|"109431055"
"Clay loam"||"107575826"|"109430731"
"Clay loam"||"107575827"|"109430728"
"Sandy clay loam"||"107575828"|"109430729"
"Loam"||"107575829"|"109430730"
"Clay"||"107575851"|"109430517"
"Clay"||"107575852"|"109430515"
"Clay"||"107575853"|"109430511"
"Clay"||"107575854"|"109430513"
"Clay loam"||"107575855"|"109430087"
"Silty clay"||"107575856"|"109429920"
"Clay"||"107575857"|"109429918"
"Silty clay"||"107575858"|"109430086"
"Clay"||"107575859"|"109430634"
"Clay loam"||"107575860"|"109430084"
"Clay loam"||"107575861"|"109430638"
"Silty clay"||"107575862"|"109430090"
"Clay"||"107575863"|"109430636"
"Clay"||"107575864"|"109430264"
"Clay"||"107575865"|"109430261"
"Clay"||"107575866"|"109430692"
"Clay"||"107575867"|"109430265"
"Clay"||"107575868"|"109430780"
"Clay"||"107575869"|"109431021"
"Clay"||"107575870"|"109430407"
"Clay"||"107575871"|"109431019"
"Loam"||"107575872"|"109431070"
"Loam"||"107575873"|"109430832"
"Loam"||"107575874"|"109431069"
|"Material"|"107575875"|"109430831"
"Loam"||"107575876"|"109429746"
"Fine sandy loam"||"107575877"|"109429747"
"Sandy clay loam"||"107575878"|"109430023"
"Fine sandy loam"||"107575879"|"109430745"
"Loam"||"107575880"|"109430868"
"Fine sandy loam"||"107575881"|"109430869"
"Sandy clay loam"||"107575882"|"109430829"
"Loam"||"107575883"|"109431067"
"Fine sandy loam"||"107575884"|"109430830"
"Sandy clay loam"||"107575885"|"109431068"
"Fine sandy loam"||"107575886"|"109429662"
"Loam"||"107575887"|"109429663"
"Fine sandy loam"||"107575888"|"109429664"
"Loam"||"107575889"|"109429239"
"Sandy loam"||"107575890"|"109429237"
"Loam"||"107575891"|"109429532"
"Loam"||"107575892"|"109429238"
"Sandy loam"||"107575893"|"109429661"
"Sandy loam"||"107575894"|"109429236"
"Loam"||"107575895"|"109429531"
"Loam"||"107575896"|"109429393"
"Loam"||"107576097"|"109429725"
"Loam"||"107576098"|"109429726"
"Clay loam"||"107576099"|"109429727"
"Sandy clay loam"||"107576100"|"109430003"
"Clay loam"||"107576101"|"109429157"
"Clay loam"||"107576102"|"109429611"
"Loam"||"107576103"|"109429612"
"Sandy clay loam"||"107576104"|"109429613"
"Loam"||"107576105"|"109429462"
"Loam"||"107576106"|"109429159"
"Clay loam"||"107576107"|"109429463"
"Sandy clay loam"||"107576108"|"109429160"
"Loam"||"107576109"|"109429158"
"Loam"||"107576110"|"109429461"
"Sandy clay loam"||"107576111"|"109429298"
"Clay loam"||"107576112"|"109429299"
"Clay loam"||"107576113"|"109429300"
"Sandy clay loam"||"107576114"|"109429301"
"Sandy clay loam"||"107576115"|"109429615"
"Clay loam"||"107576116"|"109429616"
"Sandy clay loam"||"107576117"|"109429464"
"Clay loam"||"107576118"|"109429161"
"Loam"||"107576119"|"109429614"
"Sandy clay loam"||"107576120"|"109429162"
"Clay loam"||"107576121"|"109429466"
"Sandy clay loam"||"107576122"|"109429302"
"Clay loam"||"107576123"|"109429303"
"Loam"||"107576124"|"109429465"
"Clay loam"||"107576156"|"109429172"
"Clay loam"||"107576157"|"109429801"
"Sandy clay loam"||"107576158"|"109429803"
"Clay loam"||"107576159"|"109430632"
"Sandy clay loam"||"107576160"|"109430082"
"Sandy clay loam"||"107576161"|"109429808"
"Clay loam"||"107576162"|"109429806"
"Sandy clay loam"||"107576163"|"109430601"
"Clay loam"||"107576164"|"109430045"
"Clay loam"||"107576165"|"109429771"
"Sandy clay loam"||"107576166"|"109429773"
"Sandy clay loam"||"107576167"|"109429768"
"Clay loam"||"107576168"|"109429766"
"Loam"||"107576169"|"109430046"
