"GC"|Yes|"53650682"|"100685920"
"GC-GM"|No |"53650682"|"100685921"
"GC-GM"|No |"53650683"|"100685922"
"GC"|Yes|"53650683"|"100685923"
"CL"|No |"53650684"|"100685924"
"GC"|Yes|"53650684"|"100685925"
"GC-GM"|No |"53650684"|"100685926"
"SC"|Yes|"53650685"|"100685927"
"CL"|No |"53650686"|"100685928"
"GC"|Yes|"53650686"|"100685929"
"GC-GM"|No |"53650686"|"100685930"
"SC-SM"|No |"53650687"|"100685931"
"CL"|Yes|"53650687"|"100685932"
"SC-SM"|No |"53650688"|"100685933"
"CL"|Yes|"53650688"|"100685934"
"SM"|No |"53650689"|"100685935"
"CL"|Yes|"53650689"|"100685936"
"SC"|Yes|"53650690"|"100685937"
"SM"|No |"53650690"|"100685938"
"SC"|No |"53650625"|"100685797"
"CL"|No |"53650625"|"100685798"
"SC-SM"|Yes|"53650625"|"100685799"
"SC"|Yes|"53650626"|"100685800"
"CL"|No |"53650626"|"100685801"
"SC"|No |"53650627"|"100685802"
"CL"|Yes|"53650627"|"100685803"
"CH"|No |"53650628"|"100685804"
"CL"|Yes|"53650628"|"100685805"
"SC-SM"|No |"53650629"|"100685806"
"SC"|No |"53650629"|"100685807"
"SC-SM"|Yes|"53650629"|"100685808"
"CL-ML"|No |"53650629"|"100685809"
"CL"|Yes|"53650630"|"100685810"
"CL"|Yes|"53650631"|"100685811"
"SM"|No |"53650632"|"100685812"
"SC"|Yes|"53650632"|"100685813"
"SM"|No |"53650633"|"100685814"
"CL"|Yes|"53650633"|"100685815"
"SC-SM"|No |"53650634"|"100685816"
"SC"|Yes|"53650634"|"100685817"
"SC-SM"|Yes|"53650635"|"100685818"
"SC"|No |"53650635"|"100685819"
"SM"|No |"53650635"|"100685820"
"CL"|Yes|"53650636"|"100685821"
"CL-ML"|No |"53650636"|"100685822"
"SC"|No |"53650637"|"100685823"
"CL"|Yes|"53650637"|"100685824"
"SC-SM"|No |"53650637"|"100685825"
"SC-SM"|No |"53650638"|"100685826"
"SC"|Yes|"53650638"|"100685827"
"SC"|No |"53650638"|"100685828"
"CL"|Yes|"53650639"|"100685829"
"CL"|Yes|"53650787"|"100686118"
"SC-SM"|Yes|"53650788"|"100686119"
"CL-ML"|No |"53650788"|"100686120"
"CL"|Yes|"53650789"|"100686121"
"CL"|Yes|"53650790"|"100686122"
"SC"|No |"53650790"|"100686123"
"CL"|Yes|"53650791"|"100686124"
"SC"|No |"53650791"|"100686125"
"SC-SM"|No |"53650791"|"100686126"
"CL"|Yes|"53650792"|"100686127"
"SC"|No |"53650792"|"100686128"
"SC-SM"|No |"53650792"|"100686129"
"CL"|No |"53650793"|"100686130"
"SC"|Yes|"53650793"|"100686131"
"SC-SM"|No |"53650793"|"100686132"
"SC"|Yes|"53650794"|"100686133"
"GC-GM"|Yes|"53650795"|"100686134"
"SC"|Yes|"53650796"|"100686135"
"SC"|Yes|"53650797"|"100686136"
"SC"|No |"53650798"|"100686137"
"SC-SM"|No |"53650798"|"100686138"
"CL"|Yes|"53650798"|"100686139"
"CL"|Yes|"53650799"|"100686140"
"CL-ML"|No |"53650799"|"100686141"
"SC-SM"|No |"53650799"|"100686142"
"CH"|No |"53650799"|"100686143"
"CL"|Yes|"53650800"|"100686144"
"SC"|No |"53650800"|"100686145"
"SC-SM"|No |"53650801"|"100686146"
"SC"|No |"53650801"|"100686147"
"CL"|Yes|"53650801"|"100686148"
"CL"|Yes|"53650278"|"100685227"
"CL"|Yes|"53650279"|"100685228"
"CL"|Yes|"53650280"|"100685229"
"CL"|No |"53650281"|"100685230"
"SC"|No |"53650281"|"100685231"
"SC-SM"|No |"53650281"|"100685232"
"CL"|Yes|"53650058"|"100684891"
"CL"|Yes|"53650059"|"100684892"
"CH"|No |"53650059"|"100684893"
"CL"|Yes|"53650060"|"100684894"
"CL"|Yes|"53650061"|"100684895"
"SC"|No |"53650061"|"100684896"
"CL"|Yes|"53650062"|"100684897"
"CL-ML"|No |"53650062"|"100684898"
"CL"|Yes|"53650064"|"100684899"
"SC"|No |"53650064"|"100684900"
"SC"|Yes|"53650065"|"100684901"
"CL"|No |"53650065"|"100684902"
"CL"|Yes|"53650066"|"100684903"
"CH"|No |"53650066"|"100684904"
"CL"|Yes|"53650067"|"100684905"
"CH"|No |"53650067"|"100684906"
"SC"|No |"53650067"|"100684907"
"CL"|Yes|"53650068"|"100684908"
"CL-ML"|No |"53650068"|"100684909"
"CL"|Yes|"53650069"|"100684910"
"CH"|No |"53650069"|"100684911"
"SC"|No |"53650069"|"100684912"
"CL"|Yes|"53650070"|"100684913"
"CL"|Yes|"53650071"|"100684914"
"SC"|No |"53650072"|"100684915"
"CL"|Yes|"53650072"|"100684916"
"ML"|No |"53650072"|"100684917"
"SC"|No |"53650073"|"100684918"
"CL"|Yes|"53650073"|"100684919"
"CL"|Yes|"53650074"|"100684920"
"CH"|No |"53650074"|"100684921"
