"mixed"|"18332447"|"14408674"
"mixed"|"18332448"|"14408675"
"mixed"|"18332449"|"14408673"
"mixed"|"18332450"|"14408672"
"mixed"|"18332451"|"14408676"
"mixed"|"18332452"|"14408679"
"mixed"|"18332453"|"14408678"
"mixed"|"18332454"|"14408677"
"mixed"|"18332455"|"14408682"
"mixed"|"18332456"|"14408680"
"mixed"|"18332457"|"14408681"
"mixed"|"18332458"|"14408683"
"mixed"|"18332431"|"14408816"
"mixed"|"18332432"|"14408652"
"carbonatic"|"18332433"|"14408654"
"carbonatic"|"18332434"|"14408653"
"mixed"|"18332435"|"14408817"
"carbonatic"|"18332436"|"14408819"
"carbonatic"|"18332437"|"14408818"
"mixed"|"18332438"|"14408820"
"mixed"|"18332406"|"14408534"
"mixed"|"18332407"|"14408582"
"mixed"|"18332408"|"14408651"
"mixed"|"18332409"|"14408649"
"mixed"|"18332463"|"14408699"
"mixed"|"18332464"|"14408700"
"carbonatic"|"18332465"|"14408702"
"mixed"|"18332466"|"14408701"
"mixed"|"18332300"|"14408532"
"mixed"|"18332301"|"14408524"
"mixed"|"18332100"|"14408647"
"mixed"|"18332101"|"14408643"
"mixed"|"18332102"|"14408601"
"mixed"|"18332103"|"14408644"
"mixed"|"18332104"|"14408602"
"mixed"|"18332105"|"14408646"
"mixed"|"18332106"|"14408535"
"mixed"|"18332107"|"14408645"
"mixed"|"18332305"|"14408526"
"carbonatic"|"18332306"|"14408525"
"mixed"|"18332047"|"14408473"
"mixed"|"18332048"|"14408469"
"mixed"|"18332049"|"14408471"
"mixed"|"18332050"|"14408472"
"mixed"|"18332051"|"14408470"
"mixed"|"18332307"|"14408527"
"mixed"|"18332308"|"14408528"
"mixed"|"18332117"|"14408656"
"carbonatic"|"18332118"|"14408655"
"carbonatic"|"18332119"|"14408583"
"mixed"|"18332076"|"14408548"
"mixed"|"18332077"|"14408614"
"mixed"|"18332078"|"14408546"
"mixed"|"18332079"|"14408550"
"mixed"|"18332084"|"14408616"
"mixed"|"18332085"|"14408542"
"mixed"|"18332086"|"14408553"
"mixed"|"18332087"|"14408540"
"mixed"|"18332313"|"14408607"
"mixed"|"18332314"|"14408669"
"mixed"|"18332315"|"14408667"
"mixed"|"18332316"|"14408665"
"mixed"|"18332321"|"14408661"
"mixed"|"18332322"|"14408659"
"mixed"|"18332323"|"14408663"
"mixed"|"18332324"|"14408609"
"smectitic"|"18332367"|"14408634"
"mixed"|"18332368"|"14408636"
"smectitic"|"18332369"|"14408580"
"smectitic"|"18332370"|"14408638"
"smectitic"|"18332112"|"14408623"
"mixed"|"18332113"|"14408604"
"smectitic"|"18332114"|"14408627"
"smectitic"|"18332115"|"14408625"
"mixed"|"18332439"|"14408671"
"mixed"|"18332440"|"14408698"
"mixed"|"18332441"|"14408697"
"mixed"|"18332442"|"14408696"
"mixed"|"18332459"|"14408803"
"mixed"|"18332460"|"14408802"
"mixed"|"18332461"|"14408551"
"mixed"|"18332462"|"14408804"
"mixed"|"18332443"|"14408805"
"mixed"|"18332444"|"14408806"
"mixed"|"18332445"|"14408825"
"mixed"|"18332446"|"14408824"
"smectitic"|"18332495"|"14408621"
"smectitic"|"18332496"|"14408628"
"smectitic"|"18332498"|"14408629"
"mixed"|"18332096"|"14408600"
"mixed"|"18332097"|"14408630"
"carbonatic"|"18332098"|"14408632"
"mixed"|"18332099"|"14408631"
"smectitic"|"18332377"|"14408642"
"smectitic"|"18332378"|"14408612"
"smectitic"|"18332379"|"14408640"
"carbonatic"|"18332390"|"14408811"
"mixed"|"18332391"|"14408815"
"mixed"|"18332392"|"14408813"
"mixed"|"18332393"|"14408823"
"smectitic"|"18332381"|"14408716"
"smectitic"|"18332382"|"14408717"
"mixed"|"18332383"|"14408718"
"smectitic"|"18332384"|"14408605"
"mixed"|"18332359"|"14408620"
"mixed"|"18332360"|"14408693"
"mixed"|"18332361"|"14408691"
"mixed"|"18332362"|"14408695"
