"not used"|"18332447"|"12802128"
"not used"|"18332448"|"12802129"
"not used"|"18332449"|"12802127"
"not used"|"18332450"|"12802126"
"not used"|"18332451"|"12802130"
"not used"|"18332452"|"12802133"
"not used"|"18332453"|"12802132"
"not used"|"18332454"|"12802131"
"not used"|"18332455"|"12802136"
"not used"|"18332456"|"12802134"
"not used"|"18332457"|"12802135"
"not used"|"18332458"|"12802137"
"not used"|"18332431"|"12802245"
"not used"|"18332432"|"12802205"
"not used"|"18332434"|"12802206"
"not used"|"18332435"|"12802246"
"not used"|"18332437"|"12802247"
"not used"|"18332438"|"12802248"
"not used"|"18332406"|"12802296"
"not used"|"18332407"|"12802286"
"not used"|"18332408"|"12802204"
"not used"|"18332409"|"12802202"
"not used"|"18332463"|"12802152"
"not used"|"18332464"|"12802193"
"not used"|"18332465"|"12802195"
"not used"|"18332466"|"12802194"
"not used"|"18332300"|"12802269"
"not used"|"18332301"|"12802076"
"not used"|"18332100"|"12802200"
"not used"|"18332101"|"12802196"
"not used"|"18332102"|"12802173"
"not used"|"18332103"|"12802197"
"not used"|"18332104"|"12802174"
"not used"|"18332105"|"12802199"
"not used"|"18332106"|"12802297"
"not used"|"18332107"|"12802198"
"not used"|"18332305"|"12802078"
"not used"|"18332306"|"12802077"
"not used"|"18332047"|"12802026"
"not used"|"18332048"|"12802022"
"not used"|"18332049"|"12802024"
"not used"|"18332050"|"12802025"
"not used"|"18332051"|"12802023"
"not used"|"18332307"|"12802079"
"not used"|"18332308"|"12802080"
"shallow"|"18332117"|"12802208"
"not used"|"18332118"|"12802207"
"not used"|"18332076"|"12802310"
"not used"|"18332077"|"12802186"
"not used"|"18332078"|"12802308"
"not used"|"18332079"|"12802312"
"not used"|"18332084"|"12802188"
"not used"|"18332085"|"12802268"
"not used"|"18332086"|"12802315"
"not used"|"18332087"|"12802266"
"not used"|"18332313"|"12802179"
"not used"|"18332314"|"12802263"
"not used"|"18332315"|"12802261"
"not used"|"18332316"|"12802259"
"not used"|"18332321"|"12802255"
"not used"|"18332322"|"12802253"
"not used"|"18332323"|"12802257"
"not used"|"18332324"|"12802181"
"not used"|"18332367"|"12802099"
"not used"|"18332368"|"12802101"
"not used"|"18332369"|"12802192"
"not used"|"18332370"|"12802103"
"not used"|"18332112"|"12802088"
"not used"|"18332113"|"12802176"
"not used"|"18332114"|"12802092"
"not used"|"18332115"|"12802090"
"not used"|"18332439"|"12802125"
"not used"|"18332440"|"12802151"
"not used"|"18332441"|"12802150"
"not used"|"18332442"|"12802149"
"not used"|"18332459"|"12802229"
"not used"|"18332460"|"12802228"
"not used"|"18332461"|"12802313"
"not used"|"18332462"|"12802230"
"not used"|"18332443"|"12802231"
"not used"|"18332444"|"12802232"
"not used"|"18332445"|"12802244"
"not used"|"18332446"|"12802243"
"not used"|"18332495"|"12802086"
"not used"|"18332496"|"12802093"
"not used"|"18332498"|"12802094"
"not used"|"18332096"|"12802172"
"not used"|"18332097"|"12802095"
"not used"|"18332098"|"12802097"
"not used"|"18332099"|"12802096"
"not used"|"18332377"|"12802107"
"not used"|"18332378"|"12802184"
"not used"|"18332379"|"12802105"
"not used"|"18332390"|"12802237"
"not used"|"18332391"|"12802241"
"not used"|"18332392"|"12802239"
"not used"|"18332393"|"12802251"
"not used"|"18332381"|"12802298"
"not used"|"18332382"|"12802299"
"not used"|"18332383"|"12802300"
"not used"|"18332384"|"12802177"
"not used"|"18332359"|"12802085"
"not used"|"18332360"|"12802146"
"not used"|"18332361"|"12802144"
"not used"|"18332362"|"12802148"
